code,name,district_code,facility_type,source_uuid
02884,CABINET D’OPTICIEN-LUNETIER CLEAN VISION,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2884
02375,"CABINET PRE POST NATAL""LA FLÛTE""",101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2375
03117,CENTRE DE SOINS INFIRMIER ESPACE SANTE,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3117
03113,CENTRE DE SOINS INFIRMIERS CHRIST ROI,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3113
03479,CENTRE DE SOINS INFIRMIERS MA’CHALLAH,101,PV,
03265,CSI SAINT RAPHAEL ABOBO,101,PV,
03424,CM BETHLEM D'ABOBO AKEIKOI,101,PV,
03074,CENTRE MEDICAL EDEN D' ABOBO EST,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3074
02833,CENTRE MEDICAL ESPERANCE,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2833
02822,CENTRE MEDICAL ESPOIR NANG,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2822
02821,CENTRE MEDICAL NOUR (CASAS),101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2821
02820,CENTRE MEDICAL ROTARY,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2820
02465,CENTRE MEDICAL ST PAUL,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2465
00064,CHR PUBLIC HOUPHOUET BOIGNY DE ABOBO (ABOBO NORD),101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0064
02460,CITE MEDICALE LA ROSERAIE,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2460
02834,CLINIQUE ASFI,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2834
03266,CLINIQUE EMMANUELLE,101,PV,
02464,CLINIQUE MEDICO-CHIRURGICALE D`ABOBO,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2464
01007,CLINIQUE PRIVEE LES GRACES,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1007
02999,CLINIQUE SAINT HOREB,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2999
09501,CM MADINA MOUNAWARA,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9501
02344,CM PRIVE CONFESSIONNEL ST COEUR D' ABOBO-TE,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2344
09505,CM PRIVE ONG SAMUEL,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9505
01983,CMS CONFESSIONNEL ANGE GARDIEN DE ABOBO,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1983
09727,CMS PRIVE GRAND CENTRE MEDICAL (ROUTE DE AKEÏKOI),101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9727
09504,CMS PRIVE ONG  IDEE,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9504
09500,CMS PRIVE ONG ACID,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9500
09852,CMS PRIVE ONG BAYEWA D' ABOBO EST,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9852
09853,CMS PRIVE ONG BLETY,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9853
09503,CMS PRIVE ONG CENTRE MEDICAL BEDEMI,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9503
09502,CMS PRIVE ONG MATERNITE VIE AMOUR,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9502
01019,CMS UNIVERSITE NANGUI ABROGOUA,101,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1019
03425,CSR-DM PRIVE BENJAMIN MEKROBLA D'ABOBO BELLEVILLE,101,PV,
00446,CSU-DM COMMUNAUTAIRE DE ABOBO BANCO-SUD,101,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0446
